PLAYER NAME,TEAM,TT,CAY,IAY,AYD,AGG%,LCAD,AYTS,ATTS,YDS,TD,INT,RATE,COMP%,xCOMP%,CPOE
Brock Purdy,SF,2.88,7.2,8.3,-1.1,12.8,48.8,-0.8,444,4280,31,11,113,69.4,66.8,2.5
Dak Prescott,DAL,2.71,6.3,7.9,-1.6,18.3,54.9,-0.6,590,4516,36,9,105.9,69.5,64.8,4.7
Kirk Cousins,MIN,2.86,6.1,7.2,-1.1,13.8,47.7,-1.3,311,2331,18,5,103.8,69.5,64.9,4.6
Lamar Jackson,BAL,2.95,6.3,8.7,-2.5,11.4,52.7,-0.5,457,3678,24,7,102.7,67.2,65.5,1.7
Tua Tagovailoa,MIA,2.36,6.1,7.8,-1.7,12.5,53.1,-0.9,560,4624,29,14,101.1,69.3,67.8,1.5
C.J. Stroud,HOU,3.04,7.4,9.2,-1.8,13.8,59.2,0.3,499,4108,23,5,100.8,63.9,63,0.9
Jake Browning,CIN,2.73,4.7,6.3,-1.6,16.5,53.4,-2.5,243,1936,12,7,98.4,70.4,67.1,3.3
Russell Wilson,DEN,3.06,4.6,7.5,-2.9,12.3,60.8,-1.5,447,3070,26,8,98,66.4,65.1,1.3
Jared Goff,DET,2.72,5.8,7,-1.2,12.9,57,-1.6,605,4575,30,12,97.9,67.3,66.2,1.1
Derek Carr,NO,2.69,5.8,8,-2.2,14.8,57.7,-0.7,548,3878,25,8,97.7,68.4,64.4,4
Jordan Love,GB,2.77,6,8.5,-2.5,16.2,57.6,0,579,4159,32,11,96.1,64.2,65.6,-1.4
Baker Mayfield,TB,2.71,5.6,8.6,-2.9,16.8,60.1,-0.1,566,4044,28,10,94.6,64.3,64.2,0.2
Justin Herbert,LAC,2.8,5.1,7.9,-2.8,16.7,51.5,-0.8,456,3134,20,7,93.2,65.1,64.7,0.5
Patrick Mahomes,KC,2.97,4,6.6,-2.6,9.7,46.1,-2.4,597,4183,27,14,92.6,67.2,68.9,-1.7
Matthew Stafford,LAR,2.68,6.2,7.8,-1.5,12.9,53.9,-0.8,521,3965,24,11,92.5,62.6,63.8,-1.3
Josh Allen,BUF,2.88,5.9,8.6,-2.6,14.9,54.9,-0.3,579,4306,29,18,92.2,66.5,64.6,1.9
Geno Smith,SEA,2.84,6,7.7,-1.8,14.6,50.4,-1.1,499,3624,20,9,92.1,64.7,62.5,2.2
Joe Burrow,CIN,2.54,4.5,6.5,-2,11.5,58.1,-1.8,365,2309,15,6,91,66.8,65.6,1.3
Joe Flacco,CLE,3.01,7.5,9.3,-1.7,19.1,54.7,0.4,204,1616,13,8,90.2,60.3,61.3,-1
Kyler Murray,ARI,2.8,4.5,7.1,-2.6,15.3,53.3,-2.3,268,1799,10,5,89.4,65.7,68.6,-2.9
Tommy DeVito,NYG,2.99,4.5,6.5,-1.9,10.1,51.1,-3.8,178,1101,8,3,89.2,64,67.6,-3.6
Tyrod Taylor,NYG,2.8,6.2,8.8,-2.5,11.1,62.1,-0.7,180,1341,5,3,89.1,64.4,62.5,1.9
Jalen Hurts,PHI,3.03,6.2,8.8,-2.6,15.4,54.6,-0.1,538,3858,23,15,89.1,65.4,61.3,4.1
Trevor Lawrence,JAX,2.51,5.9,8.2,-2.3,14,52.2,-0.5,564,4016,21,14,88.5,65.6,66.2,-0.5
Nick Mullens,MIN,3.07,8.2,9.8,-1.6,16.9,50.2,0.4,148,1306,7,8,88.4,67.6,62.2,5.4
Justin Fields,CHI,3.23,5.8,8.5,-2.7,12.2,59.4,-0.8,370,2562,16,9,86.3,61.4,61,0.4
Easton Stick,LAC,2.82,4.7,7,-2.4,16.1,58.5,-1.9,174,1129,3,1,85.6,63.8,65.7,-1.9
Gardner Minshew,IND,2.73,5.6,7.5,-1.9,15.7,51.2,-1.2,490,3305,15,9,84.6,62.2,63.8,-1.6
Deshaun Watson,CLE,3.06,5.6,9.1,-3.5,15.8,48.8,-0.4,171,1115,7,4,84.3,61.4,64.2,-2.8
Will Levis,TEN,2.85,6.7,10.5,-3.8,15.7,56.1,1.4,255,1808,8,4,84.2,58.4,61.6,-3.2
Aidan O'Connell,LV,2.8,5.3,7.4,-2.1,15.7,56.7,-1.6,343,2218,12,7,83.9,62.1,64.4,-2.3
Desmond Ridder,ATL,2.7,6.2,8.1,-1.9,14.9,53.7,-0.7,388,2836,12,12,83.4,64.2,65.6,-1.4
Kenny Pickett,PIT,2.81,4.9,7.1,-2.3,20.1,48.9,-1.5,324,2070,6,4,81.4,62,61.7,0.3
Joshua Dobbs,MIN,2.95,5.5,7.6,-2.1,15.6,43.3,-1.3,417,2464,13,10,79.5,62.8,63.2,-0.4
Sam Howell,WAS,2.82,4.9,7.4,-2.5,15,46.9,-1.3,612,3946,21,21,78.9,63.4,63.2,0.2
Ryan Tannehill,TEN,2.69,5.2,7.9,-2.7,13.9,62.2,-1.1,230,1616,4,7,78.5,64.8,64.4,0.4
Jimmy Garoppolo,LV,2.94,6.6,8.1,-1.5,16,36.7,-0.9,169,1205,7,9,77.7,65.1,66,-0.9
Zach Wilson,NYJ,2.91,5,7.5,-2.4,18.8,49,-1.9,368,2271,8,7,77.2,60.1,61.6,-1.5
Mac Jones,NE,2.46,4,7,-3,18.6,37.8,-1.7,345,2120,10,12,77,64.9,65.5,-0.6
Taylor Heinicke,ATL,2.88,5,8.4,-3.4,13.2,36.8,-0.4,136,890,5,4,74.7,54.4,63.1,-8.7
Bryce Young,CAR,2.9,4.9,7.4,-2.5,11.6,48.2,-1.5,527,2877,11,10,73.7,59.8,61.3,-1.6
Tyson Bagent,CHI,2.89,3.7,6.2,-2.5,12.6,52.7,-2.2,143,859,3,6,71.4,65.7,67.6,-1.9
Daniel Jones,NYG,2.73,4.1,6.8,-2.6,10,51,-2.6,160,909,2,6,70.5,67.5,67,0.5
Bailey Zappe,NE,2.74,4.8,7.7,-3,19.8,50.2,-1.3,212,1272,6,9,68.8,59.9,62.1,-2.2
Trevor Siemian,NYJ,2.53,2.6,5.7,-3.1,17,42,-3.8,153,724,2,4,62.1,56.2,65,-8.8
PLAYER NAME,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,